features,label
"[-66.54064  -70.176414 -71.581635 -71.88875  -72.12417  -72.38411
 -72.39918  -72.61575  -72.51909  -72.724724 -72.953094 -72.980644
 -72.9312   -72.6188   -72.49381  -71.94906  -71.89725  -71.65318
 -71.408005 -71.024216 -71.08095  -71.03693  -71.10716  -71.28118
 -71.12889  -71.62644  -71.52021  -71.50083  -71.58566  -71.77194
 -71.98503  -72.06289  -72.318016 -72.101265 -72.42988  -72.90304
 -72.832115 -72.85065  -73.18716  -73.42756  -73.58737  -73.77109
 -73.75706  -73.67059  -73.82286  -73.925446 -74.08251  -73.89606
 -74.00307  -74.24164  -74.754875 -75.04253  -75.36576  -75.77697
 -76.123924 -76.12905  -76.18389  -76.38152  -76.57553  -76.68929
 -76.96531  -77.11103  -77.05063  -77.0216   -77.28996  -77.39114
 -77.32244  -77.30961  -77.34159  -77.36443  -77.378456 -77.23917
 -77.16323  -76.95995  -77.10515  -77.539894 -77.731186 -77.621605
 -77.61679  -77.646034 -77.22323  -76.864815 -77.024506 -77.02951
 -76.757965 -76.55058  -76.18248  -75.92016  -76.0409   -76.37121
 -76.78207  -77.41492  -77.82865  -78.13102  -78.393616 -78.4428
 -78.37761  -78.310455 -78.200676 -78.1184   -78.01467  -78.02697
 -77.986275 -78.081985 -78.10055  -77.966064 -78.14975  -78.41937
 -78.514175 -78.72602  -78.82754  -78.837975 -78.84409  -78.80102
 -78.82556  -78.76677  -78.68026  -78.62433  -79.29263  -79.74835
 -79.763596 -79.60294  -79.6028   -79.58192  -79.45505  -79.277985
 -79.17184  -78.67591 ]",101 - Dog
"[-69.58684  -65.97691  -66.25652  -67.07922  -64.893814 -62.94085
 -62.322018 -62.29988  -60.17996  -60.457096 -57.81955  -56.7213
 -52.793865 -48.330917 -46.240067 -43.865788 -47.128807 -47.624344
 -49.221893 -51.51478  -52.087746 -53.69882  -55.75104  -56.00189
 -54.942062 -54.26393  -54.165356 -56.30914  -56.6508   -55.462704
 -54.59819  -53.88894  -55.774734 -57.186405 -61.506416 -63.27546
 -64.165955 -64.76453  -64.28211  -64.12661  -64.42891  -64.131516
 -63.156555 -61.18624  -60.739994 -62.654903 -65.45919  -65.15236
 -66.54781  -67.72838  -69.410774 -70.18217  -70.82756  -71.26605
 -71.600555 -72.77187  -72.78057  -72.24991  -71.117325 -69.75725
 -68.80253  -67.78915  -68.71315  -69.38021  -70.40664  -70.98125
 -70.368996 -70.99401  -70.581184 -70.76826  -71.53949  -73.36873
 -73.410126 -73.13138  -74.46182  -76.28944  -76.03855  -75.87474
 -76.637184 -76.703995 -77.20893  -77.64497  -77.24025  -76.736244
 -76.829124 -76.51035  -76.0393   -75.74507  -76.14803  -76.65553
 -76.38821  -76.003876 -76.29049  -76.591644 -76.18684  -76.059044
 -75.858925 -76.55906  -76.994026 -76.99235  -77.00533  -77.15462
 -77.58805  -78.19264  -78.28618  -78.465454 -78.98287  -78.72697
 -78.63418  -78.99673  -79.36754  -79.58387  -79.74445  -79.71719
 -79.792435 -79.89879  -79.91138  -79.91787  -79.99737  -80.
 -80.       -80.       -80.       -80.       -80.       -80.
 -80.       -80.      ]",101 - Dog
"[-16.334574 -20.558044 -25.813486 -29.355492 -30.446135 -30.959118
 -31.660263 -35.091217 -35.175674 -36.600533 -35.14812  -35.16822
 -35.478134 -35.65039  -36.492844 -35.982697 -37.914436 -37.36421
 -39.069996 -38.941334 -38.81091  -39.156277 -39.405926 -41.020523
 -41.35187  -43.589592 -43.07556  -43.068344 -42.079403 -41.827335
 -42.84019  -42.68908  -44.211304 -44.02745  -45.03718  -45.117764
 -43.78932  -43.055794 -42.083733 -41.79675  -41.816586 -41.9815
 -41.2965   -40.89297  -40.99847  -41.020115 -42.51029  -43.059605
 -44.213406 -44.30024  -44.07088  -43.90307  -44.37082  -44.708492
 -45.078587 -45.18288  -45.8816   -45.883423 -46.484592 -46.34526
 -46.097244 -46.12861  -46.4754   -47.277782 -47.766113 -47.915184
 -48.48723  -48.679245 -47.981102 -47.974113 -48.2838   -48.50851
 -48.78453  -49.167625 -49.792828 -50.709858 -51.96631  -52.986626
 -53.345207 -53.54719  -53.718407 -54.10044  -55.114338 -56.08885
 -57.03873  -57.906013 -58.3779   -59.547222 -61.18131  -61.691814
 -61.621384 -61.7112   -62.57851  -62.81283  -63.550728 -64.53945
 -65.23862  -65.95199  -67.23185  -68.72738  -69.401436 -70.03417
 -70.44327  -71.067474 -71.783516 -72.230774 -72.47072  -72.85537
 -72.97015  -73.294685 -73.49144  -73.97184  -74.269135 -74.27514
 -74.53217  -74.78327  -75.2923   -75.57576  -76.02926  -76.49613
 -76.7162   -77.00814  -77.27631  -78.98355  -78.97443  -79.75912
 -80.       -80.      ]",103 - Pig
"[-45.791122 -36.021965 -34.253765 -31.79504  -28.25337  -24.296421
 -18.614038 -17.784567 -18.097115 -17.603289 -15.613728 -18.250452
 -21.96984  -25.14171  -26.935904 -27.379568 -30.335184 -27.63795
 -27.234005 -27.58823  -28.331648 -28.510805 -26.419632 -25.749765
 -24.679268 -28.71447  -29.861696 -31.696602 -33.882317 -34.046707
 -34.462223 -35.935223 -37.548588 -36.708843 -36.12543  -34.824238
 -33.987766 -34.721096 -35.47717  -36.495663 -36.44474  -37.032284
 -37.552715 -36.828045 -36.02759  -37.882317 -41.170547 -40.63486
 -41.48847  -43.04869  -45.805347 -44.329567 -45.423683 -45.525345
 -45.195766 -46.399967 -46.710068 -47.168114 -46.554398 -45.09432
 -45.87659  -47.19463  -47.043926 -48.183945 -48.133896 -49.17681
 -51.524868 -52.349392 -53.30227  -56.352818 -57.277836 -58.43326
 -59.01282  -60.51323  -61.88953  -63.46356  -64.25981  -65.14808
 -65.84139  -66.52345  -66.11864  -67.00023  -69.58611  -70.65398
 -71.396835 -72.26176  -73.0841   -72.20034  -72.1933   -73.01498
 -73.53494  -74.45503  -75.6872   -76.25611  -77.25561  -77.52291
 -77.58634  -77.39903  -77.48863  -77.65023  -77.80224  -78.41405
 -78.41126  -78.17956  -78.230034 -78.68589  -79.192825 -79.61508
 -79.496346 -79.187386 -79.13205  -79.27626  -79.73874  -79.741516
 -79.80968  -79.890625 -79.95088  -79.97769  -79.97991  -79.98063
 -79.98126  -79.982185 -79.98258  -79.98298  -79.98335  -79.98366
 -79.98389  -79.984024]",104 - Cow
"[-56.791714 -53.9543   -53.796757 -55.316135 -56.416462 -56.015106
 -55.061172 -55.72436  -56.43005  -58.38555  -57.90716  -56.83658
 -56.502293 -55.979324 -55.85263  -55.85816  -56.820328 -57.134594
 -57.092873 -56.75662  -57.28328  -57.071613 -56.328854 -57.325504
 -57.696575 -59.6371   -60.08052  -60.430614 -60.650074 -61.028915
 -61.237957 -60.23725  -60.58894  -60.466797 -60.365513 -60.680817
 -60.37917  -60.239597 -60.327023 -59.676914 -59.220406 -59.76208
 -59.995087 -60.016186 -60.960114 -61.993797 -62.3228   -63.252415
 -63.116608 -62.85074  -62.77962  -63.817776 -65.28809  -66.0622
 -66.17264  -66.64515  -67.094734 -67.25702  -67.27972  -67.05145
 -66.24328  -65.80141  -65.08066  -65.20319  -65.6987   -66.2955
 -65.46937  -64.7181   -64.03204  -64.60753  -65.73774  -65.94883
 -66.59657  -67.56703  -67.688324 -67.541374 -67.32742  -67.6591
 -67.851906 -67.08221  -67.37779  -68.32485  -68.78951  -70.195984
 -69.87819  -69.43212  -69.60868  -70.26803  -70.81186  -71.294044
 -71.55524  -71.91922  -72.02123  -71.39577  -71.54904  -71.79591
 -72.32019  -72.08209  -72.58814  -72.55205  -72.413216 -72.31449
 -72.59474  -72.65514  -72.90152  -73.52138  -74.01366  -74.26787
 -74.519226 -74.481224 -74.68975  -74.95516  -75.33265  -75.789856
 -75.86994  -76.356895 -76.80762  -77.18794  -77.993164 -78.992744
 -79.28547  -79.48522  -79.76049  -79.94068  -79.97028  -79.97061
 -79.97086  -79.97103 ]",103 - Pig
"[-34.858932 -34.748333 -34.801044 -33.989735 -33.8542   -35.13321
 -34.44827  -36.53145  -37.087986 -38.23099  -37.32157  -37.089787
 -35.797894 -35.160393 -36.22296  -36.67844  -39.69085  -38.804543
 -39.14378  -38.715366 -38.46826  -37.60766  -35.793762 -36.01077
 -34.30147  -35.413563 -35.187237 -36.038425 -36.277103 -36.77787
 -37.38506  -37.04041  -37.821167 -36.281254 -35.685307 -35.30522
 -34.96913  -35.29153  -34.497005 -33.86775  -34.49193  -34.155285
 -33.270897 -33.33675  -33.57013  -32.731464 -31.57471  -30.366861
 -29.86863  -28.580105 -28.35019  -28.439827 -28.64718  -29.45546
 -29.164118 -29.071712 -28.592253 -28.868265 -28.746784 -29.236279
 -28.494217 -26.911953 -26.256433 -26.371471 -26.034708 -23.827766
 -21.779425 -22.821577 -25.55535  -27.402761 -26.959297 -28.92324
 -30.735853 -31.08269  -31.59919  -33.25783  -33.2752   -33.457603
 -34.019146 -33.74111  -34.119358 -34.853657 -34.84951  -34.761982
 -35.68724  -36.454964 -36.91185  -37.112236 -37.39565  -38.202282
 -39.743427 -41.50013  -43.109875 -44.22408  -45.644287 -46.707737
 -48.0653   -49.129124 -49.80681  -49.68507  -49.5061   -49.907906
 -51.31041  -53.02687  -53.65362  -53.78968  -54.75994  -55.630085
 -56.215008 -57.734592 -59.39871  -60.69863  -61.703705 -62.550194
 -63.289177 -64.24849  -65.325645 -66.43124  -69.00638  -76.45813
 -76.69464  -76.98525  -77.12303  -77.35765  -78.34235  -79.12611
 -79.43315  -79.59694 ]",103 - Pig
"[-46.03862  -44.591824 -51.153557 -58.159023 -61.439594 -63.80008
 -64.388695 -66.25771  -65.476456 -66.08214  -64.44728  -63.77758
 -62.680607 -60.59678  -59.203365 -55.83639  -54.951054 -53.13314
 -52.367626 -50.42704  -49.917107 -49.601475 -48.70898  -50.22604
 -48.544777 -49.93423  -49.59142  -50.605713 -50.799488 -51.011383
 -51.706543 -51.169327 -52.03561  -50.875046 -51.297966 -51.570057
 -50.382786 -50.201324 -49.909767 -49.663357 -49.877373 -50.883915
 -51.223217 -51.55267  -52.750916 -53.880108 -55.142826 -56.845806
 -58.928368 -59.20667  -60.079185 -60.70928  -60.67429  -60.924847
 -61.19885  -62.55999  -62.408405 -62.458797 -62.919052 -63.464077
 -63.973743 -65.731735 -66.79708  -67.53099  -68.72446  -68.88488
 -68.55919  -68.13309  -67.84464  -68.67661  -70.30693  -71.18518
 -71.861244 -71.82824  -72.21784  -72.71425  -72.998116 -73.144844
 -73.28083  -73.649994 -74.06494  -74.45276  -74.84038  -75.39084
 -75.709145 -75.63108  -75.472496 -75.1407   -74.86836  -74.43026
 -73.84326  -73.7352   -73.643326 -73.16301  -72.43365  -72.17119
 -72.31027  -72.55202  -73.02378  -73.23196  -73.58975  -73.96934
 -74.80294  -75.39975  -76.00278  -76.203026 -76.15722  -76.25062
 -76.60782  -77.53194  -77.84002  -77.68016  -77.46938  -77.60089
 -78.1132   -78.44815  -78.71674  -78.757034 -79.14076  -79.84322
 -79.80016  -79.944984 -80.       -79.98656  -79.99533  -79.985756
 -80.       -80.      ]",101 - Dog
"[-37.69603  -45.41621  -54.731632 -56.138767 -56.884426 -58.272335
 -57.895622 -59.32716  -59.546608 -61.608925 -62.00949  -62.07289
 -61.940037 -61.08648  -60.083588 -58.692913 -60.44978  -59.014904
 -59.03208  -58.312664 -58.025333 -56.099625 -51.818726 -49.26657
 -43.053154 -38.179054 -32.943428 -30.291342 -27.015802 -26.5079
 -26.161655 -24.389091 -26.066763 -26.169516 -27.870836 -29.170778
 -29.791063 -33.358837 -36.605762 -37.854874 -39.863297 -39.885258
 -40.668346 -42.03468  -42.236412 -40.864788 -40.731316 -39.670773
 -39.082817 -37.05121  -32.983322 -27.894987 -22.282166 -18.768776
 -17.173721 -17.533422 -20.427896 -25.39704  -30.956715 -36.164433
 -40.61078  -43.230145 -43.84459  -46.400467 -47.638927 -47.285057
 -45.48754  -43.528408 -43.743458 -46.37332  -51.595253 -55.1037
 -56.866898 -56.842934 -56.579903 -57.72411  -59.691753 -63.532875
 -67.2088   -66.84084  -66.694885 -66.44805  -66.08497  -67.52509
 -68.719376 -71.40695  -70.351524 -68.9658   -66.96651  -65.83745
 -65.33679  -63.922787 -64.45837  -66.20917  -70.401855 -72.05327
 -71.84984  -74.07451  -76.466774 -79.08124  -79.951836 -79.97474
 -79.99006  -79.98686  -79.93516  -79.89723  -79.93907  -79.967026
 -79.99941  -80.       -79.97438  -79.486145 -79.14207  -79.888405
 -79.96308  -80.       -80.       -80.       -80.       -80.
 -80.       -80.       -80.       -80.       -80.       -80.
 -80.       -80.      ]",105 - Frog
"[-61.422333 -59.233936 -58.600136 -59.24565  -60.783836 -62.026085
 -61.41308  -63.03648  -64.297356 -67.76924  -67.125885 -65.43298
 -62.232597 -58.766605 -56.525948 -55.173706 -56.458523 -54.98833
 -57.12365  -59.218822 -61.427547 -63.85593  -65.5551   -68.13919
 -68.142105 -69.17932  -68.56825  -70.369545 -71.62389  -71.121735
 -68.77321  -65.04174  -64.56958  -63.328815 -62.854702 -62.56254
 -62.35279  -63.334423 -64.07801  -63.473106 -63.722256 -64.95251
 -66.78113  -68.73856  -69.62549  -68.07211  -66.47452  -63.197433
 -62.71431  -64.230354 -64.74138  -64.92149  -66.30638  -68.58642
 -70.332504 -70.64477  -71.33392  -70.433586 -68.098976 -66.678
 -66.86553  -68.31937  -70.9269   -73.00028  -73.98032  -74.7621
 -74.44214  -73.842476 -73.441    -74.70507  -75.73836  -76.03247
 -75.72329  -75.47343  -76.03384  -76.77952  -77.28266  -77.31227
 -77.36184  -77.544464 -78.09218  -78.250275 -77.582115 -76.487785
 -76.384224 -76.32378  -76.17347  -76.82674  -76.3541   -76.52231
 -76.56661  -77.62562  -78.50589  -78.453384 -78.27859  -77.6444
 -77.08697  -77.09248  -76.90056  -77.48559  -77.736534 -77.28961
 -77.24046  -77.47423  -77.73579  -77.27307  -77.69298  -77.94116
 -78.49363  -78.885475 -79.0435   -79.22815  -79.38542  -79.437935
 -79.298904 -79.19246  -79.27015  -79.08628  -79.45824  -79.72375
 -79.77661  -79.94711  -79.97009  -79.96174  -79.98738  -79.99883
 -79.999306 -80.      ]",101 - Dog
"[-70.185486 -72.247795 -72.92841  -73.3775   -74.35561  -75.613625
 -75.607285 -76.11532  -76.58806  -76.9641   -76.953835 -76.902725
 -77.00423  -76.76716  -76.623344 -76.15533  -75.70471  -73.88183
 -72.451256 -70.52437  -68.781944 -65.07679  -62.088547 -61.497036
 -63.969955 -69.34831  -71.97487  -74.08018  -74.886894 -75.16986
 -75.5633   -74.98744  -75.17527  -74.96302  -74.81053  -74.308334
 -73.697365 -72.91572  -72.21476  -71.24194  -69.78498  -66.656555
 -62.90498  -60.395985 -60.49863  -64.4988   -69.30407  -71.374855
 -72.59451  -73.604744 -73.87158  -73.19082  -73.194534 -73.92896
 -72.31369  -69.89456  -68.66093  -70.73852  -72.854515 -76.30337
 -77.12299  -77.30894  -77.132576 -74.52038  -70.325645 -66.79949
 -69.351135 -72.85763  -77.30848  -78.093285 -77.72375  -76.28568
 -76.04665  -76.984215 -78.2511   -78.94619  -77.46128  -75.71633
 -74.17139  -75.06777  -77.185585 -74.21948  -73.36925  -74.701866
 -76.23409  -77.17376  -76.322296 -76.50391  -76.11052  -75.77507
 -75.446205 -75.56938  -74.87297  -75.73057  -75.83665  -75.097885
 -75.291115 -75.449196 -74.772446 -76.23805  -76.44098  -76.13005
 -77.163925 -74.49974  -75.60001  -76.30765  -76.33508  -75.50551
 -75.9502   -76.275955 -75.9582   -77.330864 -77.78356  -77.30262
 -78.27139  -78.2392   -78.49016  -77.952156 -78.14956  -78.91118
 -78.99286  -79.67052  -80.       -79.97318  -79.88622  -80.
 -80.       -80.      ]",102 - Rooster
"[-40.332302 -38.855694 -41.21743  -43.626198 -46.734283 -49.118145
 -49.521935 -51.294014 -50.72832  -52.532345 -53.913055 -55.308033
 -55.540863 -54.94493  -55.32938  -54.23645  -55.568794 -54.23496
 -53.69247  -51.89836  -51.583527 -51.129494 -49.93733  -50.486835
 -46.83273  -44.013847 -40.531895 -41.737312 -45.03461  -47.533447
 -49.17658  -48.602783 -48.61837  -46.081913 -42.591457 -39.809925
 -38.475872 -41.105785 -45.33845  -50.171566 -51.584812 -51.629204
 -51.956196 -52.772667 -53.591652 -54.31809  -55.20983  -56.065506
 -57.00166  -58.02629  -60.943504 -62.615982 -62.621063 -62.035774
 -61.095654 -58.310863 -53.820812 -51.29498  -53.424232 -58.721016
 -64.43862  -66.90318  -68.70114  -69.48901  -70.44169  -71.18579
 -72.22629  -72.48485  -71.521866 -71.248924 -71.169716 -71.49926
 -72.48727  -73.85568  -74.222855 -74.502975 -75.144615 -75.69286
 -75.41285  -76.066605 -76.61354  -76.45191  -76.01246  -75.201965
 -74.74493  -74.24807  -74.92197  -75.91534  -76.63783  -77.78057
 -76.978134 -75.71936  -75.09998  -75.56477  -76.16103  -76.57432
 -76.654434 -76.9606   -76.98889  -77.623604 -77.66803  -76.379166
 -77.28588  -78.922745 -78.990685 -79.00829  -79.23303  -79.45044
 -79.54664  -79.53225  -79.48455  -79.2607   -79.28114  -79.65794
 -79.87462  -79.89802  -79.94183  -79.9191   -79.9936   -80.
 -80.       -80.       -80.       -80.       -80.       -80.
 -80.       -80.      ]",101 - Dog
"[-52.327736 -39.37157  -34.054134 -31.24898  -31.141325 -26.453253
 -22.198915 -24.674644 -29.884842 -32.00896  -33.114594 -35.63344
 -32.981552 -30.01124  -31.245953 -32.699703 -35.45585  -34.732185
 -35.323524 -31.040613 -28.039265 -29.0123   -31.794264 -37.044533
 -37.100594 -38.114857 -35.20223  -32.238163 -33.97299  -37.51459
 -41.345215 -40.512417 -39.491108 -36.861088 -33.803276 -35.010788
 -38.247246 -39.900436 -37.816757 -33.25396  -29.274448 -32.534775
 -38.911743 -39.304317 -39.90273  -41.771935 -43.556988 -45.401497
 -48.269947 -48.55389  -50.723698 -51.20674  -49.014965 -47.2831
 -48.305004 -49.010414 -47.588486 -49.303226 -49.818886 -46.436058
 -47.99031  -52.827263 -50.940834 -51.654278 -53.424904 -55.24671
 -54.812786 -54.94635  -56.095936 -56.176666 -56.90644  -56.792442
 -56.436787 -55.866924 -57.24339  -57.792007 -58.459114 -59.41536
 -60.157764 -61.614834 -62.537384 -61.899757 -62.440056 -62.735493
 -63.54256  -63.230724 -62.60449  -64.395546 -65.781265 -66.23327
 -67.317535 -67.47329  -68.31918  -68.1846   -69.793106 -70.902306
 -70.82312  -70.86622  -71.324974 -71.919075 -72.5766   -73.410416
 -73.64715  -74.78616  -75.403915 -75.52442  -76.11175  -76.27926
 -76.884445 -77.45351  -77.2743   -77.823784 -77.949295 -78.685745
 -79.00484  -79.24492  -79.46909  -79.64757  -79.80717  -79.84549
 -79.86434  -79.87554  -79.882484 -79.88111  -79.87103  -79.868774
 -79.8972   -79.93739 ]",104 - Cow
"[-37.22267  -34.132355 -35.475178 -36.957077 -38.032806 -38.998856
 -39.96476  -41.814568 -40.253952 -40.51577  -39.032265 -39.78714
 -41.88778  -43.003254 -42.095257 -37.68962  -37.3758   -37.188698
 -38.936752 -40.287796 -42.22666  -43.446712 -43.91877  -45.824028
 -43.94109  -45.73267  -45.89147  -46.366264 -46.13701  -46.308125
 -46.874115 -46.313423 -47.181175 -46.840603 -47.29657  -47.476776
 -47.5764   -47.60833  -47.625587 -48.10374  -48.418934 -48.727257
 -48.804226 -48.529675 -47.58937  -46.54804  -46.619976 -46.39955
 -46.87022  -47.046272 -48.248096 -48.882336 -49.091724 -50.256245
 -51.425404 -52.264538 -52.129826 -52.229946 -52.475082 -52.56971
 -53.18146  -52.606342 -52.149483 -52.069077 -52.096684 -51.752235
 -51.590385 -51.702007 -51.769928 -51.81141  -51.189007 -51.148167
 -50.93062  -50.556538 -50.566658 -50.04363  -49.47308  -49.75794
 -50.73022  -51.296104 -51.48393  -50.500004 -50.385834 -51.553787
 -53.9349   -55.848316 -56.78402  -57.60036  -57.112663 -56.617107
 -55.99735  -56.04127  -57.01815  -56.980392 -57.09248  -57.70418
 -58.997402 -59.78995  -61.089745 -61.412113 -61.591805 -62.14049
 -62.66553  -62.987568 -63.629646 -64.51498  -65.17985  -64.95015
 -65.096054 -65.748566 -66.417015 -67.369865 -67.74008  -68.22237
 -69.15161  -70.419685 -71.281876 -72.18527  -73.66915  -76.124405
 -76.84     -77.33948  -77.509674 -77.722626 -78.07386  -78.47076
 -78.86169  -79.383156]",103 - Pig
"[-44.069225 -31.390457 -27.163687 -22.492605 -18.311295 -16.946016
 -17.02802  -20.087309 -20.237883 -21.328972 -20.353867 -20.279621
 -21.259094 -22.444674 -24.698326 -25.04972  -27.407515 -27.638573
 -29.524021 -29.755804 -30.00897  -29.061865 -27.527561 -27.946022
 -26.95352  -28.328342 -28.78465  -30.326435 -30.385578 -30.397825
 -30.872662 -30.207493 -31.28125  -30.45823  -30.043293 -28.937214
 -27.630308 -28.560104 -29.798765 -31.086725 -31.706636 -32.77401
 -34.435432 -35.41177  -36.144077 -37.404747 -38.50132  -38.31839
 -38.67276  -38.99671  -38.79117  -37.956936 -36.866634 -37.00514
 -38.2391   -39.216766 -39.773766 -39.937183 -40.44667  -41.101147
 -41.708546 -42.329586 -41.865303 -40.492313 -39.541473 -40.05566
 -40.055347 -40.097546 -40.67146  -40.474922 -40.60711  -41.24732
 -41.340908 -41.95289  -43.398003 -44.368576 -45.42038  -45.96779
 -46.01413  -46.69253  -48.073746 -48.717037 -49.374012 -50.0179
 -50.15577  -50.619797 -51.537624 -52.334324 -53.428825 -54.661835
 -54.58895  -55.180885 -56.00844  -57.314365 -58.050365 -58.37597
 -58.65079  -59.913364 -60.833763 -61.345535 -61.620716 -62.202904
 -62.670025 -63.234806 -63.761047 -64.31515  -64.79481  -64.99119
 -61.548363 -57.104755 -61.76942  -63.027    -63.60103  -67.23499
 -68.79096  -71.595764 -72.50746  -72.98202  -74.824936 -75.767944
 -74.562325 -76.55569  -78.238266 -79.3983   -79.7392   -79.70648
 -79.577286 -79.768745]",103 - Pig
"[-65.83381  -64.509224 -64.38678  -63.88828  -64.21722  -66.85808
 -69.96386  -70.49893  -68.80856  -69.8111   -69.78554  -70.17616
 -69.88594  -65.943245 -63.13568  -61.440166 -63.218987 -63.748432
 -62.17808  -58.050255 -57.26074  -59.86837  -64.10406  -68.99789
 -66.73346  -67.492096 -69.254974 -69.13627  -69.43753  -70.44316
 -70.686264 -70.2396   -71.76976  -71.52309  -70.36138  -68.61576
 -65.5766   -61.37479  -54.40955  -51.92878  -52.81881  -56.94569
 -58.14438  -61.12108  -64.23268  -67.4696   -69.12485  -69.637184
 -68.998535 -65.68799  -62.77793  -59.33837  -59.010437 -64.4313
 -68.64917  -71.80202  -73.25655  -74.26168  -75.263954 -74.687256
 -69.676025 -67.67285  -68.774666 -69.39562  -72.39052  -75.69194
 -78.09557  -78.8361   -78.38338  -78.79798  -78.59549  -77.63537
 -76.09112  -71.80821  -70.565865 -72.96333  -74.96408  -75.8738
 -72.77405  -73.93305  -78.45703  -78.07276  -78.58581  -78.44121
 -78.56707  -79.74726  -77.61527  -76.90797  -74.314964 -71.57906
 -73.72748  -76.93732  -76.54541  -77.21121  -79.518814 -78.337395
 -78.35534  -79.01593  -78.99197  -79.1185   -78.528694 -78.248405
 -77.759384 -79.51653  -79.55761  -79.71043  -79.98302  -79.9985
 -80.       -80.       -80.       -80.       -80.       -80.
 -80.       -80.       -80.       -80.       -80.       -80.
 -80.       -80.       -80.       -80.       -80.       -80.
 -80.       -80.      ]",102 - Rooster
"[-40.68789  -36.681942 -39.045864 -42.50238  -46.85242  -52.900208
 -55.36331  -57.34617  -58.10121  -60.04096  -60.494778 -62.85159
 -64.616806 -64.89155  -65.27771  -64.91155  -66.7885   -65.76863
 -64.178764 -63.14137  -62.95241  -61.549545 -58.818382 -57.339077
 -54.068684 -52.95779  -50.662083 -50.368282 -49.947197 -49.419567
 -48.665466 -46.190624 -45.612164 -45.125336 -45.56351  -45.10085
 -44.84761  -44.833736 -45.378048 -47.361237 -50.085587 -53.19339
 -55.212265 -55.96829  -55.911987 -55.892918 -55.543766 -54.74431
 -54.800163 -51.904438 -49.032368 -44.86158  -40.974503 -37.820866
 -35.12852  -34.002777 -33.97715  -34.797344 -37.24829  -41.92482
 -46.400673 -51.62257  -55.151867 -58.66046  -59.68052  -60.41001
 -60.586876 -60.678524 -59.049618 -58.5654   -59.06542  -59.896713
 -62.5884   -65.44772  -66.59634  -67.01061  -66.54859  -67.22388
 -67.57227  -69.88162  -70.478966 -72.20189  -72.724815 -72.55468
 -71.6635   -72.786995 -74.07256  -74.22138  -72.917786 -72.47139
 -73.02466  -72.912674 -73.16079  -72.72773  -72.754745 -71.42293
 -69.47242  -67.87639  -66.920456 -66.487305 -66.97482  -69.15457
 -71.22213  -73.836754 -74.835976 -75.80876  -76.12282  -75.228676
 -75.419586 -75.14072  -74.947174 -75.20109  -76.35576  -77.69752
 -78.59384  -78.936    -78.81496  -79.164246 -79.45973  -79.62331
 -79.74253  -79.82836  -79.876335 -79.872665 -79.86354  -79.867424
 -79.9013   -79.9849  ]",105 - Frog
"[-61.027027 -61.021152 -60.945496 -59.992767 -60.058887 -60.69157
 -59.217834 -58.50931  -56.39241  -56.62219  -56.598045 -57.513897
 -57.451134 -57.643887 -58.808746 -56.993008 -55.583336 -52.4408
 -52.229485 -53.215824 -56.232975 -59.40148  -59.987675 -61.73865
 -62.19152  -62.12251  -59.93306  -59.965595 -59.72284  -59.627792
 -60.52641  -60.918133 -60.669563 -59.658398 -59.782066 -58.962013
 -58.17909  -58.507984 -59.99     -62.44456  -64.191376 -65.92842
 -66.090744 -66.206055 -67.812325 -68.77608  -68.9127   -67.26891
 -65.85303  -65.03447  -65.68755  -66.156685 -67.50635  -68.08533
 -68.051735 -68.13021  -68.529724 -68.7525   -70.031395 -71.18772
 -71.512634 -71.53209  -71.89062  -71.62017  -70.964806 -70.75708
 -70.99839  -70.33746  -69.480804 -69.222275 -69.76441  -71.75937
 -73.57105  -74.643105 -75.37754  -76.36359  -76.58744  -76.87489
 -76.44005  -76.054306 -76.253395 -77.21311  -77.55732  -77.34938
 -77.43673  -78.81415  -79.51784  -79.50803  -79.48528  -78.798775
 -78.610054 -79.2143   -79.438354 -79.3378   -78.16685  -78.263664
 -78.38025  -77.83367  -77.967316 -78.27619  -78.32582  -78.42284
 -78.36662  -78.24169  -77.527534 -77.45933  -77.969    -79.531425
 -79.73256  -79.40469  -79.84029  -79.75407  -79.87206  -79.35658
 -78.843925 -79.19218  -79.19829  -79.407936 -79.89912  -79.995125
 -80.       -80.       -80.       -80.       -80.       -80.
 -80.       -80.      ]",101 - Dog
